Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;Present residence since;Property;Age in years;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Telephone;foreign worker;Flag
no checking account;20.0;critical account/ other credits existing (not at this bank);car (new);3485.0;unknown/ no savings account;... < 1 year;2.0;male : divorced/separated;none;4.0;real estate;44.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;36.0;critical account/ other credits existing (not at this bank);car (used);10477.0;unknown/ no savings account;.. >= 7 years;2.0;male : single;none;4.0;unknown / no property;42.0;none;for free;2.0;skilled employee / official;1.0;none;yes;0
no checking account;15.0;existing credits paid back duly till now;radio/television;1386.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : married/widowed;none;2.0;real estate;40.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;radio/television;1278.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;1.0;real estate;36.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;radio/television;1107.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;real estate;20.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
... < 0 DM;21.0;existing credits paid back duly till now;car (new);3763.0;unknown/ no savings account;4 <= ... < 7 years;2.0;male : single;co-applicant;2.0;real estate;24.0;none;own;1.0;unskilled - resident;1.0;none;no;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;education;3711.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : married/widowed;none;2.0;car or other;27.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;15.0;delay in paying off in the past;car (used);3594.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;46.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;car (new);3195.0;unknown/ no savings account;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;2.0;real estate;33.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
no checking account;36.0;delay in paying off in the past;radio/television;4454.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;4.0;real estate;34.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;24.0;critical account/ other credits existing (not at this bank);furniture/equipment;4736.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;none;4.0;car or other;25.0;bank;own;1.0;unskilled - resident;1.0;none;yes;1
0 <= ... < 200 DM;30.0;existing credits paid back duly till now;radio/television;2991.0;unknown/ no savings account;.. >= 7 years;2.0;female : divorced/separated/married;none;4.0;car or other;25.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;11.0;existing credits paid back duly till now;business;2142.0;.. >= 1000 DM;.. >= 7 years;1.0;male : divorced/separated;none;2.0;real estate;28.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;24.0;all credits at this bank paid back duly;business;3161.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0; building society savings agreement/ life insurance;31.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;48.0;no credits taken/ all credits paid back duly;others;18424.0;... < 100 DM;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;32.0;bank;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;no;1
no checking account;10.0;existing credits paid back duly till now;car (used);2848.0;100 <= ... < 500 DM;1 <= ... < 4 years;1.0;male : single;co-applicant;2.0;real estate;32.0;none;own;1.0;skilled employee / official;2.0;none;yes;0
... < 0 DM;6.0;existing credits paid back duly till now;car (new);14896.0;... < 100 DM;.. >= 7 years;1.0;male : single;none;4.0;unknown / no property;68.0;bank;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;furniture/equipment;2359.0;100 <= ... < 500 DM;unemployed;1.0;male : divorced/separated;none;1.0; building society savings agreement/ life insurance;33.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;furniture/equipment;3345.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;2.0; building society savings agreement/ life insurance;39.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;18.0;critical account/ other credits existing (not at this bank);furniture/equipment;1817.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0;unknown / no property;28.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;48.0;delay in paying off in the past;radio/television;12749.0;500 <= ... < 1000 DM;4 <= ... < 7 years;4.0;male : single;none;1.0;car or other;37.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;9.0;existing credits paid back duly till now;radio/television;1366.0;... < 100 DM;... < 1 year;3.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;22.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;car (new);2002.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;4.0; building society savings agreement/ life insurance;30.0;none;rent;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
... < 0 DM;24.0;all credits at this bank paid back duly;furniture/equipment;6872.0;... < 100 DM;... < 1 year;2.0;male : divorced/separated;none;1.0; building society savings agreement/ life insurance;55.0;bank;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;12.0;all credits at this bank paid back duly;car (new);697.0;... < 100 DM;... < 1 year;4.0;male : single;none;2.0;car or other;46.0;bank;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;18.0;critical account/ other credits existing (not at this bank);furniture/equipment;1049.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;21.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;48.0;existing credits paid back duly till now;car (used);10297.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;4.0;unknown / no property;39.0;stores;for free;3.0;skilled employee / official;2.0;yes, registered under the customers name;yes;1
no checking account;30.0;existing credits paid back duly till now;radio/television;1867.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;car or other;58.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;delay in paying off in the past;car (new);1344.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;real estate;43.0;none;own;2.0;unskilled - resident;2.0;none;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;furniture/equipment;1747.0;... < 100 DM;... < 1 year;4.0;male : single;co-applicant;1.0; building society savings agreement/ life insurance;24.0;none;own;1.0;unskilled - resident;1.0;none;no;0
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;radio/television;1670.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;2.0;car or other;22.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;9.0;critical account/ other credits existing (not at this bank);car (new);1224.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;1.0;real estate;30.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);radio/television;522.0;500 <= ... < 1000 DM;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;42.0;none;own;2.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;radio/television;1498.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;1.0;car or other;23.0;bank;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;30.0;delay in paying off in the past;radio/television;1919.0;100 <= ... < 500 DM;... < 1 year;4.0;male : single;none;3.0;unknown / no property;30.0;stores;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;9.0;existing credits paid back duly till now;radio/television;745.0;... < 100 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;2.0;real estate;28.0;none;own;1.0;unskilled - resident;1.0;none;yes;1
0 <= ... < 200 DM;6.0;existing credits paid back duly till now;radio/television;2063.0;... < 100 DM;... < 1 year;4.0;male : married/widowed;none;3.0;car or other;30.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;60.0;existing credits paid back duly till now;education;6288.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;unknown / no property;42.0;none;for free;1.0;skilled employee / official;1.0;none;yes;1
no checking account;24.0;critical account/ other credits existing (not at this bank);car (used);6842.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : single;none;4.0; building society savings agreement/ life insurance;46.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
no checking account;12.0;existing credits paid back duly till now;car (new);3527.0;unknown/ no savings account;... < 1 year;2.0;male : single;none;3.0; building society savings agreement/ life insurance;45.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
no checking account;10.0;existing credits paid back duly till now;car (new);1546.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;2.0;real estate;31.0;none;own;1.0;unskilled - resident;2.0;none;no;0
no checking account;24.0;existing credits paid back duly till now;furniture/equipment;929.0;unknown/ no savings account;4 <= ... < 7 years;4.0;male : single;none;2.0;car or other;31.0;stores;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;4.0;critical account/ other credits existing (not at this bank);car (new);1455.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;1.0;real estate;42.0;none;own;3.0;unskilled - resident;2.0;none;yes;0
... < 0 DM;15.0;existing credits paid back duly till now;furniture/equipment;1845.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;guarantor;1.0; building society savings agreement/ life insurance;46.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;48.0;no credits taken/ all credits paid back duly;car (new);8358.0;500 <= ... < 1000 DM;... < 1 year;1.0;female : divorced/separated/married;none;1.0;car or other;30.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;24.0;all credits at this bank paid back duly;furniture/equipment;3349.0;500 <= ... < 1000 DM;... < 1 year;4.0;male : single;none;4.0;unknown / no property;30.0;none;for free;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;1
no checking account;12.0;existing credits paid back duly till now;car (new);2859.0;unknown/ no savings account;unemployed;4.0;male : single;none;4.0;unknown / no property;38.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;18.0;existing credits paid back duly till now;furniture/equipment;1533.0;... < 100 DM;... < 1 year;4.0;male : married/widowed;co-applicant;1.0; building society savings agreement/ life insurance;43.0;none;own;1.0;unskilled - resident;2.0;none;yes;1
no checking account;24.0;existing credits paid back duly till now;radio/television;3621.0;100 <= ... < 500 DM;.. >= 7 years;2.0;male : single;none;4.0;car or other;31.0;none;own;2.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;18.0;critical account/ other credits existing (not at this bank);business;3590.0;... < 100 DM;unemployed;3.0;male : married/widowed;none;3.0;car or other;40.0;none;own;3.0;unemployed/ unskilled - non-resident;2.0;yes, registered under the customers name;yes;0
... < 0 DM;36.0;delay in paying off in the past;business;2145.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;1.0;car or other;24.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
